檔案名稱,編號,漢字,拼音,詞性,英文定義
B1-L09.pptx,I-9,大概,dàgài,Adv,"approximately, about, probably"
B1-L09.pptx,I-10,放假,fàngjià,,to have a holiday
B1-L09.pptx,I-11,下個星期,xiàge	xīngqí,,next week
B1-L09.pptx,I-12,有時候,yǒushíhòu,,sometimes
B1-L09.pptx,I-13,多久,duō	jiǔ,,how long
B1-L09.pptx,I-14,臺東,Táidōng,,name of one of the major cities on the southeastern coast of Taiwan
B1-L09.pptx,II-1,女,nǚ,N,"女＋ noun; girl-, female-"
B1-L09.pptx,II-2,月,yuè,N,number ＋月; month of a year
B1-L09.pptx,II-3,號,hào,N,"number ＋號; date, day of a month"
B1-L09.pptx,II-4,帶,dài,V,to take
B1-L09.pptx,II-5,她,tā,N,"she, her"
B1-L09.pptx,II-6,還,hái,Adv,"still, additionally"
B1-L09.pptx,II-7,建議,jiànyì,N,suggestion
B1-L09.pptx,II-8,夜市,yèshì,N,night market
B1-L09.pptx,II-9,應該,yīnggāi,Vaux,should
B1-L09.pptx,II-10,逛,guàng,V,"to wander around , to look around"
B1-L09.pptx,II-11,特別,tèbié,Vs,special
B1-L09.pptx,II-12,茶館,cháguǎn,N,tea house
B1-L09.pptx,II-13,決定,juédìng,Vp,to decide
B1-L09.pptx,II-14,要是,yàoshì,Conj,if
B1-L09.pptx,II-15,就,jiù,Adv,then
B1-L09.pptx,II-16,貓空,Māokōng,,name of a must-see place in Taipei to visit for fine tea and scenery
B1-L10.pptx,I-1,水果,shuǐguǒ,N,fruit
B1-L10.pptx,I-2,黃色,huángsè,N,yellow
B1-L10.pptx,I-3,芒果,mángguǒ,N,mango
B1-L10.pptx,I-4,給,gěi,V,to give
B1-L10.pptx,I-5,塊,kuài,M,"measure word for pieces of food; (e.g. meat, cake)"
B1-L10.pptx,I-6,香,xiāng,Vs,fragrant
B1-L10.pptx,I-7,甜,tián,Vs,sweet
B1-L10.pptx,I-8,紅色,hóngsè,N,red
B1-L10.pptx,I-9,西瓜,xīguā,N,watermelon
B1-L10.pptx,I-10,吧,,Ptc,ba; sentence-final particle for guessing
B1-L10.pptx,I-11,對,duì,Vs,"correct, right"
B1-L10.pptx,I-12,以前,yǐqián,N,before
B1-L10.pptx,I-13,機會,jīhuì,N,opportunity
B1-L10.pptx,I-14,請,qǐng,V,to treat sb to sth
B1-L10.pptx,I-15,吃吃看,chīchīkàn,,"to have a taste, try it, taste it"
B1-L10.pptx,II-1,拍,pāi,V,to take
B1-L10.pptx,II-2,笑,xiào,V,"to laugh, to smile"
B1-L10.pptx,II-3,開心,kāixīn,Vs,happy
B1-L10.pptx,II-4,穿,chuān,V,"to wear, to put on"
B1-L10.pptx,II-5,衣服,yīfú,N,clothes
B1-L10.pptx,II-6,旅館,lǚguǎn,N,hotel
B1-L10.pptx,II-7,太太,tàitai,N,wife
B1-L10.pptx,II-8,男,nán,N,"男＋ noun; boy-, male-"
B1-L10.pptx,II-9,矮,ǎi,Vs,short
B1-L10.pptx,II-10,高,gāo,Vs,tall
B1-L10.pptx,II-11,弟弟,dìdi,N,younger brother
B1-L10.pptx,II-12,乾淨,gānjìng,Vs,clean
B1-L10.pptx,II-13,窗戶,chuānghù,N,window
B1-L10.pptx,II-14,往,wǎng,Prep,"toward, to"
B1-L10.pptx,II-15,藍色,lánsè,N,blue
B1-L10.pptx,II-16,因為,yīnwèi,Conj,because
B1-L10.pptx,II-17,住,zhù,V,to stay
B1-L10.pptx,II-18,上個月,shàngge	yuè,,last month
B1-L10.pptx,II-19,這些,zhèi	xiē,,these
B1-L11.pptx,I-1,租,zū,V,to rent
B1-L11.pptx,I-2,房東,fángdōng,N,landlord
B1-L11.pptx,I-3,客廳,kètīng,N,living room
B1-L11.pptx,I-4,廚房,chúfáng,N,kitchen
B1-L11.pptx,I-5,左邊,zuǒbiān,N,left
B1-L11.pptx,I-6,右邊,yòubiān,N,right
B1-L11.pptx,I-7,浴室,yùshì,N,bathroom
B1-L11.pptx,I-8,超市,chāoshì,N,supermarket
B1-L11.pptx,I-9,走路,zǒulù,,(V-sep) to walk
B1-L11.pptx,I-10,分鐘,fēnzhōng,M,measure word for minutes
B1-L11.pptx,I-11,就,jiù,Adv,"only, merely"
B1-L11.pptx,I-12,到,dào,Vp,arrive
B1-L11.pptx,I-13,間,jiān,M,"measure word for houses, rooms,; etc."
B1-L11.pptx,I-14,空,kōng,Vs,"vacant, empty"
B1-L11.pptx,I-15,房間,fángjiān,N,room
B1-L11.pptx,I-16,套房,tàofáng,N,suite
B1-L11.pptx,I-17,回去,huíqù,Vi,"to go back, to return"
B1-L11.pptx,I-18,想,xiǎng,V,to think
B1-L11.pptx,I-19,再,zài,Adv,and then
B1-L11.pptx,I-20,電話,diànhuà,N,telephone
B1-L11.pptx,I-21,給,gěi,Prep,to
B1-L11.pptx,I-22,林,lín,,"Chinese last name, common in Taiwan"
B1-L11.pptx,I-23,打電話,dǎ	diànhuà,,to make a phone call
B1-L11.pptx,II-1,喂,wéi,Ptc,"a particle used in addressing; people, especially over the phone"
B1-L11.pptx,II-2,房租,fángzū,N,rent (for a room or a house)
B1-L11.pptx,II-3,已經,yǐjīng,Adv,already
B1-L11.pptx,II-4,習慣,xíguàn,Vs,"to get settled down, to get used to"
B1-L11.pptx,II-5,問題,wèntí,N,"problem, question"
B1-L11.pptx,II-6,熱水器,rèshuǐqì,N,water heater
